Mas1,10.36685766,10.48974011,10.6217703,8.886054715,7.47250808,7.082095804,7.880333501
MEIS2,5.879828273,4.39420543,4.129283017,5.259837401,2.912170803,5.504382042,5.263316155
MMP3,6.512937943,5.711770204,6.084755249,5.36719631,0.472487771,0.15704371,5.969127461
MMP8,7.925673114,6.568412191,6.562814809,1.959770155,0.185866545,3.682011391,4.854868383
MN1,6.218199944,5.744161096,4.995145287,6.347665656,4.736198959,6.481032481,5.997235945
MPO,10.08828142,10.46071441,10.65933815,10.05849915,8.296239426,8.476250034,9.405279768
MVK,6.126084936,5.457216694,5.18070484,5.656853854,5.694044413,5.13873257,5.490489907
MYC,8.98284388,8.765435292,8.639657253,8.481123325,8.032087064,8.354767293,8.683012135
MYLIP,5.999830924,6.452982478,6.728192635,7.027629592,6.286188089,7.006410239,7.484903433
NEB,11.57568814,11.06183525,10.48597267,10.95349079,10.04797932,10.7165687,11.41668935
NFIB,8.989543516,7.949505752,8.032844706,6.485104761,3.123086751,5.169624409,6.031659854
NGFR,9.357029593,9.452405993,9.14448618,9.705653984,8.551958141,9.145722029,8.909713111
NOTCH1,8.51364865,8.288058585,7.918296779,8.718849635,8.156146296,8.740666203,9.117565186
NR2F2,7.158963061,6.506049668,6.26190686,7.433960931,6.508309796,7.988968654,7.902224355
Nr4a1,7.232804635,7.198297695,7.166715445,8.450334924,8.35372026,8.67468662,9.538460564
PHLDA2,10.57059575,10.17448569,10.38063963,9.578608561,8.752564631,9.23376346,10.16637652
PIM3,9.460824458,9.482429842,9.657461372,8.982729817,9.170300654,8.841556486,8.907611763
PMEPA1,8.032004388,7.791016332,8.2301886,7.326204751,6.116707838,7.121844298,6.830863757
PRICKLE1,9.26826127,8.84350498,8.925702781,8.743858259,7.973152038,8.764166654,8.626037521
RHOU,9.193235807,8.766785623,9.173089946,7.780014757,7.961232623,8.185655972,7.841234102
RPL23A,6.511001466,5.858354058,5.494815592,5.057775167,5.127530108,2.940636607,2.644433152
RRAD,11.11636671,10.35187232,9.195224547,9.465270489,7.850921284,8.658702415,10.77665304
SC4MOL,8.788685711,8.465076581,7.389287159,8.34416273,8.768449015,7.758672946,7.990401835
SGK1,9.901481633,9.452061021,9.184515864,9.865141691,9.59298487,10.1281039,10.74082218
SLC2A1,9.087728018,8.468440767,8.392317423,8.928214852,8.477910015,9.472112021,9.923784291
